filename,timestamp,value,label
pool_7_b3633ea9-c_data_orp,2017-08-23T14:52:02+0200,167.334,0
pool_7_b3633ea9-c_data_orp,2017-08-23T14:52:49+0200,533.508,0
pool_7_b3633ea9-c_data_orp,2017-08-23T14:54:43+0200,546.582,0
pool_7_b3633ea9-c_data_orp,2017-08-23T15:11:49+0200,473.633,0
pool_7_b3633ea9-c_data_orp,2017-08-23T15:22:41+0200,392.627,0
pool_7_b3633ea9-c_data_orp,2017-08-23T15:30:20+0200,394.897,0
pool_7_b3633ea9-c_data_orp,2017-08-23T15:37:36+0200,391.895,0
pool_7_b3633ea9-c_data_orp,2017-08-23T16:12:34+0200,373.694,0
pool_7_b3633ea9-c_data_orp,2017-08-23T18:53:16+0200,342.05300000000005,0
pool_7_b3633ea9-c_data_orp,2017-08-23T20:45:37+0200,297.046,0
pool_7_b3633ea9-c_data_orp,2017-08-23T22:54:10+0200,292.798,0
pool_7_b3633ea9-c_data_orp,2017-08-24T00:14:29+0200,299.316,0
pool_7_b3633ea9-c_data_orp,2017-08-24T01:34:45+0200,311.584,0
pool_7_b3633ea9-c_data_orp,2017-08-24T04:15:20+0200,250.867,0
pool_7_b3633ea9-c_data_orp,2017-08-24T14:23:02+0200,304.224,0
pool_7_b3633ea9-c_data_orp,2017-08-24T16:18:07+0200,314.771,0
pool_7_b3633ea9-c_data_orp,2017-08-24T17:38:26+0200,296.716,0
pool_7_b3633ea9-c_data_orp,2017-08-24T22:59:42+0200,243.652,0
pool_7_b3633ea9-c_data_orp,2017-08-25T00:19:58+0200,254.456,0
pool_7_b3633ea9-c_data_orp,2017-08-25T01:40:15+0200,241.30900000000003,0
pool_7_b3633ea9-c_data_orp,2017-08-25T08:21:45+0200,300.818,0
pool_7_b3633ea9-c_data_orp,2017-08-25T15:03:12+0200,312.317,0
pool_7_b3633ea9-c_data_orp,2017-08-25T20:24:24+0200,302.283,0
pool_7_b3633ea9-c_data_orp,2017-08-25T21:44:41+0200,261.597,0
pool_7_b3633ea9-c_data_orp,2017-08-25T23:04:59+0200,251.929,0
pool_7_b3633ea9-c_data_orp,2017-08-26T00:25:18+0200,242.188,0
pool_7_b3633ea9-c_data_orp,2017-08-26T01:45:34+0200,245.923,0
pool_7_b3633ea9-c_data_orp,2017-08-26T03:05:51+0200,258.04400000000004,0
pool_7_b3633ea9-c_data_orp,2017-08-26T04:26:09+0200,290.308,0
pool_7_b3633ea9-c_data_orp,2017-08-26T05:46:27+0200,284.082,0
pool_7_b3633ea9-c_data_orp,2017-08-26T08:27:03+0200,345.532,0
pool_7_b3633ea9-c_data_orp,2017-08-26T21:49:58+0200,702.515,1
pool_7_b3633ea9-c_data_orp,2017-08-27T03:11:10+0200,684.387,0
pool_7_b3633ea9-c_data_orp,2017-08-27T13:53:32+0200,718.591,0
pool_7_b3633ea9-c_data_orp,2017-08-27T23:15:36+0200,671.533,0
pool_7_b3633ea9-c_data_orp,2017-08-28T00:35:53+0200,697.6439999999999,0
pool_7_b3633ea9-c_data_orp,2017-08-28T01:56:10+0200,675.415,0
pool_7_b3633ea9-c_data_orp,2017-08-28T03:16:28+0200,675.305,0
pool_7_b3633ea9-c_data_orp,2017-08-28T04:36:47+0200,693.323,0
pool_7_b3633ea9-c_data_orp,2017-08-28T05:57:05+0200,668.53,0
pool_7_b3633ea9-c_data_orp,2017-08-28T07:17:23+0200,713.977,0
pool_7_b3633ea9-c_data_orp,2017-08-28T08:37:40+0200,714.1239999999998,0
pool_7_b3633ea9-c_data_orp,2017-08-28T09:57:58+0200,708.85,0
pool_7_b3633ea9-c_data_orp,2017-08-28T11:18:15+0200,710.278,0
pool_7_b3633ea9-c_data_orp,2017-08-28T13:58:51+0200,711.047,0
pool_7_b3633ea9-c_data_orp,2017-08-28T15:19:08+0200,707.605,0
pool_7_b3633ea9-c_data_orp,2017-08-28T16:39:26+0200,704.456,0
pool_7_b3633ea9-c_data_orp,2017-08-28T17:59:44+0200,706.873,0
pool_7_b3633ea9-c_data_orp,2017-08-29T08:42:59+0200,709.326,0
pool_7_b3633ea9-c_data_orp,2017-08-30T08:48:18+0200,709.5830000000002,0
pool_7_b3633ea9-c_data_orp,2017-08-30T16:50:06+0200,696.765,0
pool_7_b3633ea9-c_data_orp,2017-08-30T19:30:39+0200,694.275,0
pool_7_b3633ea9-c_data_orp,2017-08-31T02:12:08+0200,650.952,0
pool_7_b3633ea9-c_data_orp,2017-08-31T11:34:13+0200,692.334,0
pool_7_b3633ea9-c_data_orp,2017-08-31T12:54:32+0200,689.551,0
