filename,timestamp,value,label
pool_14_38b8c174-a_data_orp,2018-06-14T00:18:34+0200,172.5,0
pool_14_38b8c174-a_data_orp,2018-06-14T01:30:34+0200,200,0
pool_14_38b8c174-a_data_orp,2018-06-14T02:42:34+0200,213.75,0
pool_14_38b8c174-a_data_orp,2018-06-14T03:54:34+0200,222,0
pool_14_38b8c174-a_data_orp,2018-06-14T05:06:34+0200,221.25,0
pool_14_38b8c174-a_data_orp,2018-06-14T06:18:34+0200,222,0
pool_14_38b8c174-a_data_orp,2018-06-14T06:19:57+0200,221.25,0
pool_14_38b8c174-a_data_orp,2018-06-14T07:31:12+0200,229.25,0
pool_14_38b8c174-a_data_orp,2018-06-14T08:43:13+0200,226.25,0
pool_14_38b8c174-a_data_orp,2018-06-14T09:55:14+0200,214.5,0
pool_14_38b8c174-a_data_orp,2018-06-14T11:07:12+0200,184.75,0
pool_14_38b8c174-a_data_orp,2018-06-14T12:19:14+0200,162,0
pool_14_38b8c174-a_data_orp,2018-06-14T13:31:13+0200,141.5,0
pool_14_38b8c174-a_data_orp,2018-06-14T14:43:14+0200,127,0
pool_14_38b8c174-a_data_orp,2018-06-14T15:55:14+0200,145.25,0
pool_14_38b8c174-a_data_orp,2018-06-14T17:07:14+0200,158.5,0
pool_14_38b8c174-a_data_orp,2018-06-14T18:19:13+0200,163.75,0
pool_14_38b8c174-a_data_orp,2018-06-14T19:31:13+0200,157.75,0
pool_14_38b8c174-a_data_orp,2018-06-19T01:32:34+0200,780.75,0
pool_14_38b8c174-a_data_orp,2018-06-19T17:08:31+0200,782,0
pool_14_38b8c174-a_data_orp,2018-06-19T21:56:32+0200,787.5,0
pool_14_38b8c174-a_data_orp,2018-06-20T03:56:31+0200,798,0
pool_14_38b8c174-a_data_orp,2018-06-20T13:32:32+0200,777.75,0
pool_14_38b8c174-a_data_orp,2018-06-20T14:44:32+0200,782,0
pool_14_38b8c174-a_data_orp,2018-06-21T00:20:34+0200,816,0
pool_14_38b8c174-a_data_orp,2018-06-21T02:44:32+0200,819.75,0
pool_14_38b8c174-a_data_orp,2018-06-22T05:09:12+0200,795.25,0
pool_14_38b8c174-a_data_orp,2018-06-22T06:21:11+0200,794.5,0
pool_14_38b8c174-a_data_orp,2018-06-28T05:11:07+0200,277.5,0
pool_14_38b8c174-a_data_orp,2018-06-28T11:11:07+0200,267.5,0
pool_14_38b8c174-a_data_orp,2018-06-28T12:23:11+0200,268.5,0
pool_14_38b8c174-a_data_orp,2018-06-28T13:35:07+0200,265.25,0
